timestamp,adservice_cpu,adservice_ram,cartservice_cpu,cartservice_ram,checkoutservice_cpu,checkoutservice_ram,currencyservice_cpu,currencyservice_ram,emailservice_cpu,emailservice_ram,frontend_cpu,frontend_ram,paymentservice_cpu,paymentservice_ram,productcatalogservice_cpu,productcatalogservice_ram,recommendationservice_cpu,recommendationservice_ram,redis_cpu,redis_ram,shippingservice_cpu,shippingservice_ram
1701825744,0.0064911102893068,4344185.930077092,0.0103131988001091,2792.4734115080446,0.0051883545087117,1356857.9219121656,0.0571659425911554,4505917.765709853,0.0040084877368693,244.388696101942,0.0410748978274903,1599193.2888793289,0.0046679369349174,2030299.5342349748,0.021771733982816,2934990.9568590303,0.0118480570933802,5497299.923910476,0.0040591097606045,1177181.6203342504,0.0046270101282628,1403.3104216183808
1701825804,0.0066621056719281,1122.781369212143,0.0065158750000001,2317004.8000000003,0.0042028671974154,118.149301949925,0.0471988237913478,22844.37972205911,0.004733184203734,0.0,0.0370916360835481,15681.75433827194,0.0037590336966918,1683843.2858610384,0.0114608249999996,1618227.2000000002,0.0111380857614899,1967024.33163112,0.002751725,1420288.0,0.0033106915923441,1532223.1584471776
1701825864,0.005444268034522,250.12212994626285,0.0090849037153106,1911021.896004288,0.0030020343810395,1428579.4730953106,0.0369608311391713,11152.122084900591,0.0040495389574362,2669991.5981928194,0.0334597452859915,460.8253453939967,0.001572475,4198.400000000001,0.0176832680341094,1491514.1737727588,0.0105645352166444,156.36571864859707,0.0039500936122239,5277.39415779196,0.0036964462197332,1363702.8496129138
1701825924,0.0055054397640776,0.0,0.0090999033990069,4154799.541706917,0.0038209099126242,1409514.3517123633,0.053485035612785,1610893.0914704746,0.004509536322794,4283231.329999153,0.0376205672853537,12966.989200643367,0.0043681474892295,1421129.7507543648,0.0193902192843571,1280891.7036098796,0.0091557644410097,2200314.0831816085,0.0041405938092229,1435540.619077701,0.0037361919636519,1881729.035922192
1701825984,0.0023628000000002,6353885.866666667,0.0095959514351759,4152256.917794385,0.0037475265874033,2002629.0308784533,0.0550622882223176,13413.321811111362,0.0042155282532457,95.12971177741132,0.0330025337413566,1544575.4904131894,0.0035099571018142,1601226.6519737104,0.0188882938455069,9876.797981214077,0.0112425660855211,4731383.397779435,0.0038922178069795,2240093.165991266,0.0039770324462267,3218463.482804715
1701826044,0.0054116362230598,1979.317676621243,0.0106711557021973,827.4190290216147,0.0045310313620384,1220716.0708691566,0.0629423676864968,2346159.925565103,0.0046132020455768,2272625.8747532745,0.0420741249999991,2327552.0,0.00288585,8192.0,0.0200775476876318,2945303.5451019527,0.0109996491322768,0.0,0.0040525812619502,1161013.791139498,0.0042357414448668,1349507.9929678238
1701826104,0.0053679283929376,6248115.685551595,0.0100816469986795,3939649.469603374,0.00432914507772,795.8549222797926,0.0534036225846131,3390092.925445383,0.0042590393955747,2277059.9028602266,0.0148852000000014,26897.066666666666,0.0036770812172428,1652928.1274123434,0.0158095850339612,2692738.180488136,0.0112487286921644,293.36771236212576,0.0040629203731829,98.74400327860948,0.0034975892438663,2976750.545377631
1701826164,0.005077010876863,3423142.0258717155,0.0096560983230914,1535.8400166649303,0.0035073987880228,654.7954372623574,0.0526204841860191,3388778.72264862,0.003805524976394,2094837.1694200027,0.0355347200113193,3928140.6487672008,0.0038361480011725,1831660.345877207,0.0183670780969476,4372222.621184918,0.0103974951543163,0.0,0.0041135204378712,1329685.524630255,0.0041317232213316,1375257.050296964
1701826224,0.0052849790848016,3873573.025732032,0.0089917339896206,4945069.177679097,0.0035121448709607,1268951.637388853,0.0549677257601312,1973313.397456352,0.0050194122005432,303.48234131884414,0.0387201912807072,3574305.8549373727,0.0031318934104186,10422.816196079228,0.0193433254882534,2702169.3711548783,0.0107703893291333,2571365.4574986463,0.0039758848697006,1168536.8380110138,0.0044378966042713,1509949.916983192
1701826284,0.0061695394258214,229.2237953998545,0.0095353657436637,1667659.781726346,0.0038397705112073,3080053.246462304,0.0537715012489402,3972473.268098173,0.0043804200542005,2630337.294142172,0.0382426331865962,1661895.6068637138,0.0041157956894007,10521.16917626218,0.0206720056658769,1763541.6087821089,0.0101139727446266,7168.667320541092,0.0041269197267685,2610676.5690184752,0.004068421302449,1564968.293146003
